订单顺序号,来料顺序号,物料编号,物料名称,来料数量
1,1,6901028339957,云烟(硬细支云龙),1
1,2,6901028201728,芙蓉王(硬细支),1
1,3,6901028143554,七匹狼(硬锋芒),1
1,4,6901028006415,双喜(硬祥和好日子),1
1,5,6901028224079,金圣(硬滕王阁紫光),1
1,6,6901028145077,娇子(硬宽窄好运细支),1
1,7,6901028180818,黄鹤楼(硬天下名楼),1
1,8,6901028131605,黄山(硬大红方印),1
1,9,6901028121736,利群(硬楼外楼中支),1
1,10,6901028223744,黄山(软记忆),1
1,11,8888075043540,建牌(硬HD1细支),1
1,12,6901028160285,黄金叶(软乐途),1
2,1,6901028057110,双喜(硬细支金樽),1
2,2,8888075024037,555(硬冰炫),1
2,3,6901028339957,云烟(硬细支云龙),1
2,4,6901028201728,芙蓉王(硬细支),1
2,5,6901028143554,七匹狼(硬锋芒),1
2,6,6901028006415,双喜(硬祥和好日子),1
2,7,6901028224079,金圣(硬滕王阁紫光),1
2,8,6901028145077,娇子(硬宽窄好运细支),1
2,9,6901028180818,黄鹤楼(硬天下名楼),1
2,10,6901028131605,黄山(硬大红方印),1
2,11,6901028121736,利群(硬楼外楼中支),1
2,12,6901028223744,黄山(软记忆),1
2,13,8888075043540,建牌(硬HD1细支),1
2,14,6901028160285,黄金叶(软乐途),1
2,15,6901028063821,芙蓉王(硬75mm),1
3,1,6901028057110,双喜(硬细支金樽),1
3,2,6901028201728,芙蓉王(硬细支),1
3,3,6901028111270,南京(硬炫赫门),2
3,4,6901028006415,双喜(硬祥和好日子),1
3,5,6901028191623,芙蓉王(硬闪带细支),2
3,6,6901028145077,娇子(硬宽窄好运细支),1
3,7,6901028180818,黄鹤楼(硬天下名楼),1
3,8,6901028131605,黄山(硬大红方印),1
3,9,6901028181457,黄鹤楼(硬峡谷柔情),1
3,10,6901028045490,茶花(硬94mm),1
3,11,6901028121736,利群(硬楼外楼中支),1
3,12,6901028223744,黄山(软记忆),1
3,13,6901028211802,七匹狼(硬古田金中支),1
3,14,6901028064934,芙蓉王(硬领航),1
3,15,6901028160285,黄金叶(软乐途),1
3,16,6901028121521,利群(软夜西湖),1
3,17,6901028063821,芙蓉王(硬75mm),1
3,18,6901028057233,双喜(硬城市之光),1
3,19,6901028204835,芙蓉王(硬中支),2
4,1,6901028057110,双喜(硬细支金樽),1
4,2,6901028165365,黄金叶(硬天香细支),1
4,3,6901028212229,中华(硬细支),1
4,4,8888075024037,555(硬冰炫),1
4,5,6901028339957,云烟(硬细支云龙),1
4,6,6901028201728,芙蓉王(硬细支),1
4,7,6901028143554,七匹狼(硬锋芒),1
4,8,6901028111270,南京(硬炫赫门),2
4,9,6901028006415,双喜(硬祥和好日子),2
4,10,6901028191623,芙蓉王(硬闪带细支),2
4,11,6901028224079,金圣(硬滕王阁紫光),1
4,12,6901028145077,娇子(硬宽窄好运细支),1
4,13,6901028180818,黄鹤楼(硬天下名楼),2
4,14,6901028340618,云烟(硬小熊猫16支),1
4,15,6901028131605,黄山(硬大红方印),1
4,16,6901028181457,黄鹤楼(硬峡谷柔情),1
4,17,6901028018722,中华(硬双中支),1
4,18,6901028121736,利群(硬楼外楼中支),1
4,19,6901028223744,黄山(软记忆),1
4,20,8888075043540,建牌(硬HD1细支),1
4,21,6901028211802,七匹狼(硬古田金中支),1
4,22,6901028064934,芙蓉王(硬领航),1
4,23,6901028160285,黄金叶(软乐途),1
4,24,6901028121521,利群(软夜西湖),1
4,25,6901028063821,芙蓉王(硬75mm),1
4,26,6901028057233,双喜(硬城市之光),1
4,27,6901028204835,芙蓉王(硬中支),2
5,1,6901028057110,双喜(硬细支金樽),1
5,2,8888075024037,555(硬冰炫),1
5,3,6901028339957,云烟(硬细支云龙),1
5,4,6901028201728,芙蓉王(硬细支),1
5,5,6901028143554,七匹狼(硬锋芒),1
5,6,6901028111270,南京(硬炫赫门),2
5,7,6901028006415,双喜(硬祥和好日子),2
5,8,6901028191623,芙蓉王(硬闪带细支),2
5,9,6901028224079,金圣(硬滕王阁紫光),1
5,10,6901028145077,娇子(硬宽窄好运细支),1
5,11,6901028180818,黄鹤楼(硬天下名楼),1
5,12,6901028131605,黄山(硬大红方印),1
5,13,6901028181457,黄鹤楼(硬峡谷柔情),1
5,14,6901028121736,利群(硬楼外楼中支),1
5,15,6901028223744,黄山(软记忆),1
5,16,6901028211802,七匹狼(硬古田金中支),1
5,17,6901028064934,芙蓉王(硬领航),1
5,18,6901028160285,黄金叶(软乐途),1
5,19,6901028121521,利群(软夜西湖),1
5,20,6901028063821,芙蓉王(硬75mm),1
5,21,6901028204835,芙蓉王(硬中支),2
6,1,8888075024037,555(硬冰炫),1
6,2,6901028339957,云烟(硬细支云龙),1
6,3,6901028201728,芙蓉王(硬细支),1
6,4,6901028143554,七匹狼(硬锋芒),1
6,5,6901028006415,双喜(硬祥和好日子),1
6,6,6901028224079,金圣(硬滕王阁紫光),1
6,7,6901028145077,娇子(硬宽窄好运细支),1
6,8,6901028180818,黄鹤楼(硬天下名楼),1
6,9,6901028131605,黄山(硬大红方印),1
6,10,6901028223744,黄山(软记忆),1
6,11,8888075043540,建牌(硬HD1细支),1
6,12,6901028160285,黄金叶(软乐途),1
6,13,6901028063821,芙蓉王(硬75mm),1
7,1,6901028057110,双喜(硬细支金樽),1
7,2,6901028165365,黄金叶(硬天香细支),1
7,3,6901028212229,中华(硬细支),1
7,4,8888075024037,555(硬冰炫),1
7,5,6901028201728,芙蓉王(硬细支),1
7,6,6901028111270,南京(硬炫赫门),2
7,7,6901028006415,双喜(硬祥和好日子),3
7,8,6901028191623,芙蓉王(硬闪带细支),1
7,9,6901028145077,娇子(硬宽窄好运细支),1
7,10,6901028180818,黄鹤楼(硬天下名楼),1
7,11,6901028340618,云烟(硬小熊猫16支),1
7,12,6901028131605,黄山(硬大红方印),1
7,13,6901028181457,黄鹤楼(硬峡谷柔情),1
7,14,6901028045490,茶花(硬94mm),2
7,15,6901028018722,中华(硬双中支),1
7,16,6901028121736,利群(硬楼外楼中支),1
7,17,8888075043540,建牌(硬HD1细支),1
7,18,6901028064934,芙蓉王(硬领航),1
