物料编号,物料名称,长(0.1mm),宽(0.1mm),高(0.1mm)
6901028006415,双喜(硬祥和好日子),2800,1020,260
6901028018722,中华(硬双中支),3320,960,300
6901028029919,娇子(硬宽窄逍遥细支),2160,840,670
6901028045490,茶花(硬94mm),2700,980,440
6901028057059,双喜(硬盛世好日子)新,2640,950,650
6901028057110,双喜(硬细支金樽),2850,1100,342
6901028057233,双喜(硬城市之光),1470,940,670
6901028063821,芙蓉王(硬75mm),2770,800,479
6901028064934,芙蓉王(硬领航),1870,910,720
6901028075725,中华(硬全开式)新,1810,940,840
6901028102094,贵烟(硬红中支),3120,954,288
6901028111270,南京(硬炫赫门),2810,1020,260
6901028112789,南京(硬九五),2860,970,557
6901028121521,利群(软夜西湖),2700,790,440
6901028121736,利群(硬楼外楼中支),2590,890,430
6901028131605,黄山(硬大红方印),3070,950,547
6901028143554,七匹狼(硬锋芒),2800,1020,250
6901028145077,娇子(硬宽窄好运细支),2820,880,260
6901028160285,黄金叶(软乐途),2700,790,450
6901028165365,黄金叶(硬天香细支),2840,1090,310
6901028169967,黄金叶(硬天叶),2860,980,570
6901028180818,黄鹤楼(硬天下名楼),2760,880,250
6901028181457,黄鹤楼(硬峡谷柔情),2850,970,530
6901028191623,芙蓉王(硬闪带细支),2800,1020,280
6901028196932,白沙(硬和天下),2840,940,543
6901028201728,芙蓉王(硬细支),2810,1020,260
6901028204835,芙蓉王(硬中支),1460,940,670
6901028211802,七匹狼(硬古田金中支),1730,1100,750
6901028212229,中华(硬细支),2810,1020,260
6901028218184,黄鹤楼(硬感恩中支),3340,940,310
6901028223744,黄山(软记忆),2670,773,450
6901028224079,金圣(硬滕王阁紫光),2800,1020,260
6901028339957,云烟(硬细支云龙),2820,1050,260
6901028340618,云烟(硬小熊猫16支),2700,930,315
8888075024037,555(硬冰炫),2830,1040,270
8888075043540,建牌(硬HD1细支),2840,1040,250
